Crash_ID,State,Crash_Type,Road_User,Year,Age,Gender
20212095,Vic,Single,Motorcycle rider,2021,26,Male
20212042,Vic,Single,Driver,2021,28,Male
20212161,Vic,Single,Driver,2021,32,Female
20212159,Vic,Multiple,Motorcycle rider,2021,45,Male
20212078,Vic,Single,Motorcycle rider,2021,58,Female
20212050,Vic,Single,Driver,2021,51,Male
20212136,Vic,Multiple,Driver,2021,53,Male
20212130,Vic,Single,Motorcycle rider,2021,37,Male
20212076,Vic,Single,Motorcycle rider,2021,66,Male
20212021,Vic,Multiple,Driver,2021,32,Male
20212001,Vic,Multiple,Driver,2021,75,Male
20212104,Vic,Multiple,Driver,2021,54,Male
20212138,Vic,Single,Driver,2021,42,Male
20212142,Vic,Single,Driver,2021,27,Male
20212155,Vic,Multiple,Driver,2021,85,Female
20212009,Vic,Single,Motorcycle rider,2021,24,Male
20212010,Vic,Multiple,Driver,2021,28,Male
20212160,Vic,Single,Motorcycle rider,2021,16,Male
20212062,Vic,Multiple,Driver,2021,75,Male
20212108,Vic,Multiple,Driver,2021,81,Female
20212066,Vic,Multiple,Driver,2021,84,Male
20212106,Vic,Multiple,Driver,2021,27,Male
20212077,Vic,Single,Driver,2021,48,Male
20212035,Vic,Multiple,Driver,2021,28,Male
20212121,Vic,Multiple,Pedal cyclist,2021,57,Male
20212052,Vic,Multiple,Motorcycle rider,2021,30,Male
20212126,Vic,Multiple,Driver,2021,62,Male
20212148,Vic,Single,Driver,2021,26,Female
20212031,Vic,Single,Driver,2021,26,Male
20212003,Vic,Single,Motorcycle rider,2021,55,Male
20212105,Vic,Multiple,Driver,2021,25,Male
20212016,Vic,Multiple,Driver,2021,46,Male
20212034,Vic,Single,Driver,2021,40,Male
20212102,Vic,Multiple,Pedal cyclist,2021,42,Male
20212056,Vic,Multiple,Motorcycle rider,2021,60,Male
20212126,Vic,Multiple,Driver,2021,34,Female
20212058,Vic,Single,Driver,2021,37,Male
20212065,Vic,Single,Driver,2021,43,Male
20212131,Vic,Multiple,Motorcycle rider,2021,62,Male
20212069,Vic,Multiple,Driver,2021,66,Male
20212083,Vic,Multiple,Driver,2021,49,Male
20212097,Vic,Single,Driver,2021,23,Male
20212085,Vic,Multiple,Driver,2021,29,Male
20212144,Vic,Multiple,Motorcycle rider,2021,30,Male
20212070,Vic,Single,Motorcycle rider,2021,39,Male
20212051,Vic,Multiple,Driver,2021,33,Female
20212124,Vic,Multiple,Motorcycle rider,2021,83,Male
20212026,Vic,Single,Driver,2021,75,Male
20212027,Vic,Single,Driver,2021,34,Male
20212022,Vic,Single,Driver,2021,29,Male
20215059,WA,Single,Driver,2021,23,Male
20215045,WA,Multiple,Driver,2021,61,Male
20215085,WA,Single,Driver,2021,40,Male
20215055,WA,Single,Motorcycle rider,2021,53,Male
20215067,WA,Single,Motorcycle rider,2021,24,Male
20215103,WA,Multiple,Driver,2021,36,Male
20215114,WA,Single,Driver,2021,73,Female
20215099,WA,Single,Driver,2021,21,Male
20215009,WA,Single,Driver,2021,34,Male
20215076,WA,Multiple,Driver,2021,60,Male
20215101,WA,Single,Driver,2021,26,Male
20215018,WA,Single,Driver,2021,41,Male
20215093,WA,Multiple,Motorcycle rider,2021,23,Male
20215056,WA,Single,Driver,2021,19,Male
20215062,WA,Multiple,Driver,2021,72,Male
20215074,WA,Single,Driver,2021,25,Female
20215042,WA,Single,Motorcycle rider,2021,57,Male
20215096,WA,Single,Driver,2021,53,Female
20215016,WA,Single,Motorcycle rider,2021,46,Male
20215112,WA,Multiple,Pedal cyclist,2021,52,Male
20215057,WA,Multiple,Driver,2021,32,Male
20215073,WA,Multiple,Motorcycle rider,2021,61,Female
20215015,WA,Multiple,Driver,2021,61,Male
20215002,WA,Single,Driver,2021,54,Male
20215091,WA,Multiple,Driver,2021,82,Male
20215032,WA,Multiple,Motorcycle rider,2021,17,Male
20215025,WA,Single,Driver,2021,22,Male
20215068,WA,Single,Driver,2021,59,Female
20215092,WA,Single,Driver,2021,61,Female
20215003,WA,Single,Driver,2021,23,Male
20215080,WA,Multiple,Motorcycle rider,2021,23,Male
20215033,WA,Single,Motorcycle rider,2021,37,Male
20215107,WA,Single,Motorcycle rider,2021,33,Male
20215081,WA,Multiple,Motorcycle rider,2021,37,Male
20215046,WA,Single,Driver,2021,75,Female
20211118,NSW,Single,Driver,2021,23,Male
20211112,NSW,Single,Motorcycle rider,2021,23,Male
20211107,NSW,Single,Driver,2021,62,Male
20211125,NSW,Multiple,Driver,2021,47,Female
20211143,NSW,Single,Driver,2021,81,Male
20211013,NSW,Multiple,Motorcycle rider,2021,28,Male
20211041,NSW,Multiple,Motorcycle rider,2021,52,Male
20211042,NSW,Single,Motorcycle rider,2021,51,Male
20211153,NSW,Multiple,Driver,2021,70,Female
