,Crash_ID,Counter,Year,State,Crash_Type,Road_User,Gender,Age,Age_Group,Age_Category,Gender_rank,Crash_Type_rank,Road_User_rank
18765,20063270,1,2006,Qld,Multiple,Driver,Male,21,17_to_25,17-26 Years,2,2,1
18766,20063187,1,2006,Qld,Multiple,Driver,Male,28,26_to_39,27-36 Years,2,2,1
18767,20063284,1,2006,Qld,Single,Pedestrian,Male,19,17_to_25,17-26 Years,2,1,5
18768,20063285,1,2006,Qld,Single,Driver,Male,27,26_to_39,27-36 Years,2,1,1
18769,20063004,1,2006,Qld,Multiple,Driver,Male,81,75_or_older,67+ Years,2,2,1
18770,20063242,1,2006,Qld,Multiple,Driver,Male,92,75_or_older,67+ Years,2,2,1
18771,20063110,1,2006,Qld,Single,Passenger,Male,12,0_to_16,<16 Years,2,1,4
18772,20063041,1,2006,Qld,Single,Passenger,Male,20,17_to_25,17-26 Years,2,1,4
18773,20063013,1,2006,Qld,Multiple,Driver,Male,24,17_to_25,17-26 Years,2,2,1
18774,20063196,1,2006,Qld,Single,Driver,Female,25,17_to_25,17-26 Years,1,1,1
18775,20063191,1,2006,Qld,Multiple,Motorcycle rider,Male,24,17_to_25,17-26 Years,2,2,2
18776,20063014,1,2006,Qld,Single,Motorcycle rider,Male,34,26_to_39,27-36 Years,2,1,2
18777,20063274,1,2006,Qld,Single,Passenger,Male,29,26_to_39,27-36 Years,2,1,4
18778,20063184,1,2006,Qld,Multiple,Motorcycle rider,Male,35,26_to_39,27-36 Years,2,2,2
18779,20063113,1,2006,Qld,Multiple,Motorcycle rider,Male,39,26_to_39,37-46 Years,2,2,2
18780,20063092,1,2006,Qld,Single,Driver,Female,43,40_to_64,37-46 Years,1,1,1
18781,20063219,1,2006,Qld,Multiple,Driver,Male,49,40_to_64,47-56 Years,2,2,1
18782,20063106,1,2006,Qld,Multiple,Driver,Male,64,40_to_64,57-66 Years,2,2,1
18783,20063141,1,2006,Qld,Multiple,Passenger,Female,57,40_to_64,57-66 Years,1,2,4
18784,20063010,1,2006,Qld,Single,Passenger,Male,55,40_to_64,47-56 Years,2,1,4
18785,20063110,1,2006,Qld,Single,Driver,Male,17,17_to_25,17-26 Years,2,1,1
18786,20063032,1,2006,Qld,Single,Pedestrian,Male,23,17_to_25,17-26 Years,2,1,5
18787,20063297,1,2006,Qld,Single,Pedestrian,Male,42,40_to_64,37-46 Years,2,1,5
18788,20063261,1,2006,Qld,Multiple,Pedal cyclist,Male,58,40_to_64,57-66 Years,2,2,3
18789,20063254,1,2006,Qld,Single,Pedestrian,Female,13,0_to_16,<16 Years,1,1,5
18790,20063237,1,2006,Qld,Single,Passenger,Male,34,26_to_39,27-36 Years,2,1,4
18791,20063164,1,2006,Qld,Single,Driver,Male,50,40_to_64,47-56 Years,2,1,1
18792,20063141,1,2006,Qld,Multiple,Driver,Male,74,65_to_74,67+ Years,2,2,1
18793,20063235,1,2006,Qld,Single,Passenger,Female,15,0_to_16,<16 Years,1,1,4
18794,20063090,1,2006,Qld,Single,Driver,Male,22,17_to_25,17-26 Years,2,1,1
18795,20063057,1,2006,Qld,Single,Driver,Male,24,17_to_25,17-26 Years,2,1,1
18796,20063311,1,2006,Qld,Single,Motorcycle rider,Male,39,26_to_39,37-46 Years,2,1,2
18797,20063245,1,2006,Qld,Single,Passenger,Male,26,26_to_39,17-26 Years,2,1,4
18798,20063282,1,2006,Qld,Single,Driver,Male,47,40_to_64,47-56 Years,2,1,1
18799,20063033,1,2006,Qld,Multiple,Driver,Female,23,17_to_25,17-26 Years,1,2,1
18800,20063015,1,2006,Qld,Single,Pedestrian,Male,4,0_to_16,<16 Years,2,1,5
18801,20063103,1,2006,Qld,Multiple,Motorcycle rider,Male,19,17_to_25,17-26 Years,2,2,2
18802,20063144,1,2006,Qld,Single,Driver,Female,33,26_to_39,27-36 Years,1,1,1
18803,20063231,1,2006,Qld,Single,Driver,Male,58,40_to_64,57-66 Years,2,1,1
18804,20063162,1,2006,Qld,Single,Motorcycle rider,Male,43,40_to_64,37-46 Years,2,1,2
18805,20063120,1,2006,Qld,Single,Motorcycle rider,Male,56,40_to_64,47-56 Years,2,1,2
18806,20063230,1,2006,Qld,Single,Motorcycle rider,Male,34,26_to_39,27-36 Years,2,1,2
18807,20063218,1,2006,Qld,Multiple,Passenger,Female,24,17_to_25,17-26 Years,1,2,4
18808,20063195,1,2006,Qld,Single,Driver,Female,84,75_or_older,67+ Years,1,1,1
18809,20063240,1,2006,Qld,Multiple,Driver,Male,79,75_or_older,67+ Years,2,2,1
18810,20063176,1,2006,Qld,Multiple,Motorcycle rider,Male,19,17_to_25,17-26 Years,2,2,2
18811,20063213,1,2006,Qld,Single,Passenger,Male,23,17_to_25,17-26 Years,2,1,4
18812,20063306,1,2006,Qld,Single,Motorcycle rider,Male,31,26_to_39,27-36 Years,2,1,2
18813,20063296,1,2006,Qld,Single,Driver,Male,32,26_to_39,27-36 Years,2,1,1
18814,20063175,1,2006,Qld,Multiple,Motorcycle rider,Male,28,26_to_39,27-36 Years,2,2,2
18815,20063298,1,2006,Qld,Single,Driver,Male,61,40_to_64,57-66 Years,2,1,1
18816,20063123,1,2006,Qld,Multiple,Driver,Male,22,17_to_25,17-26 Years,2,2,1
18817,20063038,1,2006,Qld,Single,Pedestrian,Female,20,17_to_25,17-26 Years,1,1,5
18818,20063269,1,2006,Qld,Single,Pedestrian,Female,80,75_or_older,67+ Years,1,1,5
18819,20063007,1,2006,Qld,Single,Pedestrian,Male,34,26_to_39,27-36 Years,2,1,5
18820,20063070,1,2006,Qld,Single,Pedestrian,Female,48,40_to_64,47-56 Years,1,1,5
18821,20063235,1,2006,Qld,Single,Passenger,Male,19,17_to_25,17-26 Years,2,1,4
18822,20063235,1,2006,Qld,Single,Driver,Male,18,17_to_25,17-26 Years,2,1,1
18823,20063059,1,2006,Qld,Single,Driver,Male,21,17_to_25,17-26 Years,2,1,1
18824,20063216,1,2006,Qld,Single,Driver,Male,36,26_to_39,27-36 Years,2,1,1
18825,20063074,1,2006,Qld,Single,Passenger,Male,29,26_to_39,27-36 Years,2,1,4
18826,20063147,1,2006,Qld,Single,Driver,Male,51,40_to_64,47-56 Years,2,1,1
18827,20063143,1,2006,Qld,Multiple,Driver,Male,31,26_to_39,27-36 Years,2,2,1
18828,20063228,1,2006,Qld,Multiple,Driver,Male,30,26_to_39,27-36 Years,2,2,1
18829,20063263,1,2006,Qld,Single,Driver,Male,45,40_to_64,37-46 Years,2,1,1
18830,20063005,1,2006,Qld,Single,Driver,Male,43,40_to_64,37-46 Years,2,1,1
18831,20063304,1,2006,Qld,Single,Driver,Male,54,40_to_64,47-56 Years,2,1,1
18832,20063180,1,2006,Qld,Single,Motorcycle rider,Male,24,17_to_25,17-26 Years,2,1,2
18833,20063037,1,2006,Qld,Multiple,Motorcycle rider,Male,24,17_to_25,17-26 Years,2,2,2
18834,20063087,1,2006,Qld,Single,Driver,Male,18,17_to_25,17-26 Years,2,1,1
18835,20063224,1,2006,Qld,Multiple,Driver,Male,27,26_to_39,27-36 Years,2,2,1
18836,20063002,1,2006,Qld,Multiple,Motorcycle rider,Male,29,26_to_39,27-36 Years,2,2,2
18837,20063189,1,2006,Qld,Multiple,Driver,Male,28,26_to_39,27-36 Years,2,2,1
18838,20063163,1,2006,Qld,Multiple,Motorcycle rider,Male,35,26_to_39,27-36 Years,2,2,2
18839,20063027,1,2006,Qld,Single,Driver,Male,33,26_to_39,27-36 Years,2,1,1
18840,20063243,1,2006,Qld,Single,Motorcycle rider,Male,29,26_to_39,27-36 Years,2,1,2
