,State,National LGA Name 2017,Crash ID,lat,lng
429,WA,Greater Geraldton (C),22,-28.776282,114.612002
430,WA,Halls Creek (S),9,-18.2229842,127.6701399
431,WA,Harvey (S),23,-33.08212779999999,115.905778
432,WA,Irwin (S),11,-29.256598,114.9991464
433,WA,Jerramungup (S),4,-33.9378595,118.9206527
434,WA,Joondalup (C),23,-31.74807049999999,115.7726436
435,WA,Kalamunda (C),17,-31.9733275,116.0604722
436,WA,Kalgoorlie - Bo,1,-30.749,121.466
437,WA,Kalgoorlie/Boulder (C),15,-30.749,121.466
438,WA,Karratha (C),6,-20.7336955,116.8447057
439,WA,Kellerberrin (S),4,-31.63265079999999,117.7192968
440,WA,Kent (S),1,-33.5438705,118.8596804
441,WA,Kojonup (S),3,-33.831004,117.1590354
442,WA,Kondinin (S),4,-32.4580546,118.2646271
443,WA,Kulin (S),1,-32.6680099,118.1589324
444,WA,Kwinana (C),11,-32.2320792,115.7787256
445,WA,Lake Grace (S),6,-33.1008788,118.4699963
446,WA,Leonora (S),1,-28.821584,121.2809556
447,WA,Mandurah (C),15,-32.5352867,115.7325492
448,WA,Manjimup (S),9,-34.2432496,116.1454595
449,WA,Meekatharra (S),2,-26.5956611,118.4935984
450,WA,Melville (C),7,-32.0439193,115.7994248
451,WA,Menzies (S),1,-29.6935575,121.0288851
452,WA,Merredin (S),4,-31.483215,118.2833224
453,WA,Mingenew (S),1,-29.2726852,115.4419524
454,WA,Moora (S),3,-30.6410361,116.008009
455,WA,Morawa (S),1,-29.318301,116.0098823
456,WA,Mosman Park (T),1,-32.0151669,115.7664032
457,WA,Mount Magnet (S),3,-28.0652329,117.8487476
458,WA,Mount Marshall (S),1,-30.15490909999999,118.0186087
459,WA,Mundaring (S),17,-31.9021558,116.1682575
460,WA,Murray (S),19,-32.6548919,115.9467997
461,WA,Nannup (S),3,-33.9776788,115.764515
462,WA,Narrogin (S),5,-32.9310079,117.1781532
463,WA,Nedlands (C),3,-31.9787216,115.8057894
464,WA,Northam (S),20,-31.6539634,116.6619872
465,WA,Northampton (S),5,-28.3523131,114.6300086
466,WA,Perenjori (S),1,-29.4435497,116.2886858
467,WA,Perth (C),9,-31.9523123,115.861309
468,WA,Pingelly (S),2,-32.5328368,117.0841935
469,WA,Plantagenet (S),12,-34.5846897,117.6434844
470,WA,Port Hedland (T,1,-20.3620857,118.61481
471,WA,Port Hedland (T),12,-20.3620857,118.61481
472,WA,Quairading (S),4,-32.1010915,117.4406075
473,WA,Ravensthorpe (S),2,-33.4574912,119.964749
474,WA,Rockingham (C),22,-32.2780969,115.7351399
475,WA,Sandstone (S),2,-28.6401506,119.0459927
476,WA,Serpentine-Jarrahdale (S),21,-32.3492396,115.9940986
477,WA,Shark Bay (S),1,-25.7834193,113.2987712
478,WA,South Perth (C),3,-31.9725411,115.8504979
479,WA,Stirling (C),33,-31.8864864,115.8099028
480,WA,Subiaco (C),1,-31.9470195,115.8240278
481,WA,Swan (C),28,-31.7358495,116.0886704
482,WA,Toodyay (S),10,-31.5499953,116.4638156
483,WA,Trayning (S),1,-31.1139898,117.7920606
484,WA,Victoria Park (T),3,-31.9747152,115.8975916
485,WA,Victoria Plains (S),8,-30.87575379999999,116.3249438
486,WA,Vincent (C),7,-31.93193449999999,115.8462613
487,WA,Wagin (S),2,-33.3049505,117.3443834
488,WA,Wandering (S),5,-32.68016860000001,116.6751627
489,WA,Wanneroo (C),32,-31.7509712,115.8027929
490,WA,Waroona (S),13,-32.8429333,115.9214559
491,WA,West Arthur (S),5,-33.4886151,116.702495
492,WA,Westonia (S),3,-31.2965172,118.6890305
493,WA,Wickepin (S),1,-32.7815779,117.4966668
494,WA,Williams (S),4,-33.0277557,116.8791608
495,WA,Wongan-Ballidu (S),2,-30.7509977,116.8910342
496,WA,Wyndham-East Kimberley (S),12,-15.5409571,126.954107
497,WA,Yilgarn (S),4,-30.7938249,119.2320784
498,WA,York (S),5,-31.8748896,116.7692532
